,new_region,date,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,annee,mois
0,Auvergne-Rhône-Alpes,2013-01-01,37223.0,36511.0,712.0,3983.0,89.09095888910191,8.166708511172484,2013,1
374,Normandie,2013-01-01,9288.0,9175.0,113.0,799.0,91.29155313351498,10.483103879849812,2013,1
434,Nouvelle Aquitaine,2013-01-01,15185.0,14918.0,267.0,1146.0,92.31800509451669,12.017452006980802,2013,1
314,Hauts-de-France,2013-01-01,30981.0,30563.0,418.0,3577.0,88.29630599090403,7.544310875034945,2013,1
266,Grand Est,2013-01-01,26743.0,26469.0,274.0,1231.0,95.34927651214629,20.50203086921202,2013,1
526,Occitanie,2013-01-01,13232.0,12838.0,394.0,1280.0,90.02959962610998,9.0296875,2013,1
711,Provence-Alpes-Côte d'Azur,2013-01-01,13956.0,13219.0,737.0,1816.0,86.26219835085861,6.279185022026431,2013,1
120,Bretagne,2013-01-01,8776.0,8631.0,145.0,554.0,93.58127679295562,14.57942238267148,2013,1
60,Bourgogne-Franche-Comté,2013-01-01,14226.0,14076.0,150.0,1178.0,91.63114521170787,10.9490662139219,2013,1
592,Pays de la Loire,2013-01-01,10407.0,10195.0,212.0,713.0,93.00637567435017,13.298737727910238,2013,1
435,Nouvelle Aquitaine,2013-02-01,14389.0,14229.0,160.0,1249.0,91.22215194321456,10.392313851080864,2013,2
527,Occitanie,2013-02-01,12271.0,11857.0,414.0,1302.0,89.0191448089736,8.106758832565284,2013,2
315,Hauts-de-France,2013-02-01,27693.0,27365.0,328.0,1919.0,92.98739265485109,13.260031266284523,2013,2
267,Grand Est,2013-02-01,24064.0,23860.0,204.0,1004.0,95.79212070410729,22.764940239043824,2013,2
61,Bourgogne-Franche-Comté,2013-02-01,12659.0,12511.0,148.0,1152.0,90.79210294940452,9.860243055555555,2013,2
375,Normandie,2013-02-01,8362.0,8292.0,70.0,396.0,95.22431259044862,19.939393939393938,2013,2
121,Bretagne,2013-02-01,7729.0,7644.0,85.0,448.0,94.13919413919415,16.0625,2013,2
593,Pays de la Loire,2013-02-01,9238.0,9126.0,112.0,503.0,94.48827525750603,17.143141153081512,2013,2
712,Provence-Alpes-Côte d'Azur,2013-02-01,12581.0,12142.0,439.0,1761.0,85.49662329105584,5.894946053378762,2013,2
1,Auvergne-Rhône-Alpes,2013-02-01,33444.0,33076.0,368.0,4198.0,87.3080178981739,6.878989995235827,2013,2
713,Provence-Alpes-Côte d'Azur,2013-03-01,13994.0,13042.0,952.0,2010.0,84.58825333537801,5.488557213930348,2013,3
594,Pays de la Loire,2013-03-01,9837.0,9484.0,353.0,520.0,94.51708140025306,17.23846153846154,2013,3
268,Grand Est,2013-03-01,25735.0,25391.0,344.0,1036.0,95.91981410736088,23.50868725868726,2013,3
62,Bourgogne-Franche-Comté,2013-03-01,13625.0,13274.0,351.0,994.0,92.51167696248305,12.354124748490946,2013,3
122,Bretagne,2013-03-01,8363.0,8208.0,155.0,924.0,88.74269005847954,7.883116883116883,2013,3
316,Hauts-de-France,2013-03-01,29184.0,27400.0,1784.0,2571.0,90.61678832116789,9.657331777518475,2013,3
436,Nouvelle Aquitaine,2013-03-01,15589.0,15354.0,235.0,1213.0,92.09977855933307,11.657873042044518,2013,3
528,Occitanie,2013-03-01,12876.0,12350.0,526.0,1237.0,89.98380566801619,8.983831851253031,2013,3
2,Auvergne-Rhône-Alpes,2013-03-01,34769.0,34469.0,300.0,4015.0,88.35185238910326,7.58505603985056,2013,3
376,Normandie,2013-03-01,8727.0,8128.0,599.0,577.0,92.90108267716535,13.086655112651647,2013,3
595,Pays de la Loire,2013-04-01,9758.0,9549.0,209.0,501.0,94.75337731699655,18.059880239520957,2013,4
714,Provence-Alpes-Côte d'Azur,2013-04-01,13437.0,12168.0,1269.0,1660.0,86.35765943458252,6.330120481927711,2013,4
3,Auvergne-Rhône-Alpes,2013-04-01,30862.0,30493.0,369.0,3358.0,88.98763650673925,8.08070279928529,2013,4
529,Occitanie,2013-04-01,13257.0,12896.0,361.0,993.0,92.29993796526054,11.986908358509567,2013,4
63,Bourgogne-Franche-Comté,2013-04-01,13147.0,13041.0,106.0,981.0,92.4775707384403,12.293577981651376,2013,4
377,Normandie,2013-04-01,8883.0,8753.0,130.0,435.0,95.03027533417114,19.12183908045977,2013,4
437,Nouvelle Aquitaine,2013-04-01,15665.0,15355.0,310.0,1344.0,91.24715076522305,10.42485119047619,2013,4
269,Grand Est,2013-04-01,25065.0,24878.0,187.0,813.0,96.73205241578906,29.600246002460025,2013,4
123,Bretagne,2013-04-01,8371.0,8276.0,95.0,579.0,93.0038666022233,13.293609671848014,2013,4
317,Hauts-de-France,2013-04-01,29711.0,29404.0,307.0,1951.0,93.36484831995647,14.07124551512045,2013,4
318,Hauts-de-France,2013-05-01,28686.0,28447.0,239.0,1545.0,94.56884733012268,17.41229773462783,2013,5
4,Auvergne-Rhône-Alpes,2013-05-01,31801.0,31492.0,309.0,2905.0,90.77543503111902,9.840619621342514,2013,5
596,Pays de la Loire,2013-05-01,9823.0,9420.0,403.0,658.0,93.01486199575372,13.316109422492401,2013,5
124,Bretagne,2013-05-01,7977.0,7910.0,67.0,323.0,95.91656131479141,23.489164086687307,2013,5
530,Occitanie,2013-05-01,13478.0,13120.0,358.0,940.0,92.83536585365853,12.957446808510639,2013,5
64,Bourgogne-Franche-Comté,2013-05-01,13283.0,13171.0,112.0,1223.0,90.71444840938425,9.769419460343418,2013,5
715,Provence-Alpes-Côte d'Azur,2013-05-01,13312.0,12977.0,335.0,2244.0,82.70786776604763,4.782976827094474,2013,5
378,Normandie,2013-05-01,8625.0,8442.0,183.0,388.0,95.40393271736555,20.757731958762886,2013,5
438,Nouvelle Aquitaine,2013-05-01,15958.0,15829.0,129.0,1165.0,92.6400909722661,12.587124463519313,2013,5
270,Grand Est,2013-05-01,25122.0,24975.0,147.0,669.0,97.32132132132132,36.33183856502242,2013,5
531,Occitanie,2013-06-01,13487.0,12910.0,577.0,1115.0,91.36328427575523,10.57847533632287,2013,6
5,Auvergne-Rhône-Alpes,2013-06-01,32074.0,31653.0,421.0,3576.0,88.70249265472467,7.851510067114094,2013,6
319,Hauts-de-France,2013-06-01,28393.0,28053.0,340.0,1931.0,93.11660072006559,13.527705851890213,2013,6
439,Nouvelle Aquitaine,2013-06-01,15463.0,14933.0,530.0,1359.0,90.89935043192928,9.988226637233259,2013,6
379,Normandie,2013-06-01,8750.0,8548.0,202.0,439.0,94.86429574169397,18.471526195899774,2013,6
716,Provence-Alpes-Côte d'Azur,2013-06-01,12916.0,11957.0,959.0,2160.0,81.9352680438237,4.535648148148148,2013,6
65,Bourgogne-Franche-Comté,2013-06-01,12850.0,12041.0,809.0,1153.0,90.42438335686404,9.443191673894189,2013,6
271,Grand Est,2013-06-01,24257.0,23876.0,381.0,1040.0,95.64416150108896,21.95769230769231,2013,6
125,Bretagne,2013-06-01,7901.0,7837.0,64.0,280.0,96.42720428735485,26.989285714285714,2013,6
597,Pays de la Loire,2013-06-01,9665.0,9217.0,448.0,574.0,93.77237712921774,15.057491289198607,2013,6
126,Bretagne,2013-07-01,7363.0,7299.0,64.0,483.0,93.38265515824085,14.111801242236025,2013,7
