,User,Tweet,timeTweet,source,retweet
0,Arki987,@pabliigoo @SNCF Celui de 14h50,2022-12-16 13:50:02+00:00,Twitter for iPhone,0
1,Im_Gi_,@Etohzz @SNCF @Elysee *,2022-12-16 13:49:50+00:00,Twitter for iPhone,0
2,Rayn_TN,@SNCF tgv inoui 2730 a destination de paris,2022-12-16 13:49:20+00:00,Twitter for iPhone,0
3,pabliigoo,@Arki987 @SNCF wesh comment ça,2022-12-16 13:48:30+00:00,Twitter for Android,0
4,dirtyswift,@ov_ostan @SNCF Mais bro… La ils me mettent en galère…,2022-12-16 13:47:53+00:00,Twitter for iPhone,0
5,Arki987,"Train suivant supprimé 👌

Je vous hais @SNCF https://t.co/W3fWoAtxl4",2022-12-16 13:46:36+00:00,Twitter for iPhone,0
6,Rayn_TN,@SNCF le tgv bloquer à reims depuis 30min qui devait partir de Reims et aller à Paris a 14h14 j’aimerai savoir on part quand et ce qu’il se passe svp,2022-12-16 13:46:33+00:00,Twitter for iPhone,0
7,jabarre81,@SNCF @GroupeSNCF Bonjour merci je viens de vous envoyer en DM les informations demandés,2022-12-16 13:46:08+00:00,Twitter for Android,0
8,saint_dolly,Ce serait bien de mettre l'application à jour en temps réel quand il y a des perturbations ou des interruptions de trafic de façon à ce qu'on puisse prendre nos dispositions @SNCF 😕,2022-12-16 13:44:10+00:00,Twitter Web App,0
9,Rayn_TN,@SNCF c’est quand mon tgv il part svp il se passe quoi 50min de retard bordel,2022-12-16 13:42:50+00:00,Twitter for iPhone,0
10,letulpadedavid,"@Alphaleus1 @LIGNEP_SNCF @SNCF Certes mais dans le cas présent la SNCF n'y est pour rien.... Préféreriez-vous qu'elle fasse passer les trains et qu'un pont fragilisé, cède ?...",2022-12-16 13:37:28+00:00,Twitter for Android,0
11,ChristoE35,"RT @IsabelleSurply: Bonjour @SNCF 
Donc quand un petit breton de 15 ans monte dans un Ouigo qui porte le bon numéro de train, le bon forfai…",2022-12-16 13:32:50+00:00,Twitter for iPhone,792
12,Absimiliard1,@lawyer_lord Les développeurs des appli @SNCF n'étaient plus dispo (ils préparent une qui ne marchera que pour les réservation TGV entre Lathus Saint Remy et Montmorillon les nuits de pleine lune) ... ils ont du se rabattre sur ce qui restait,2022-12-16 13:32:15+00:00,Twitter Web App,0
13,EFFICYCLE_fr,"🚗 #EFFINEWS Mobilité N° 332 est en ligne ▶️ https://t.co/pv75O8oM9y

📩 Abonnement gratuit ▶️ https://t.co/cND1fUAqHG
 
❤️ Soutenez EFFICYCLE ▶️ https://t.co/vhXtWT8wrg

Avec @BMWGroupFrance @vw_france @ToyotaFrance @FiskerInc @CERN_FR @Airbus @SNCF @groupekeolis @DouzeCycles https://t.co/9OGmnEhJ8j",2022-12-16 13:30:00+00:00,Swello,0
14,MasterMINDERent,"{#MMTV} MM RADIO - #LunchShow : Retrouver Ses Objets Perdus Dans Les Transports Avec Gares &amp; Connexions @SNCF - Interview de Sandrine Augereau (Plateau avec @DjJPMano)
https://t.co/QnAN2rFyEI

#MMRadio #Podcast #SNCF #ObjetsTrouves #Societe #Informations #Transports #Technologie",2022-12-16 13:29:40+00:00,Twitter Web App,0
15,thierry_ponsada,Ne serait il pas temps que ça change ? @Plusdetrains @rerA. Nous sommes gentiment avertis qu’il n’y a pas de conducteur @Sncf pour prendre la relève du RerA stationnant à NanterreP ? Enfin @RER_A on est arrivé à la limite de ce sytème non ? https://t.co/h7SkNPW9GQ,2022-12-16 13:27:13+00:00,Twitter for iPhone,0
