id,origine,numero_isic,type_event,date,nature,region,lieu,niveau_gravite,annee
18212,Mobilités,0,Dépassement de la vitesse limite de plus de 40 km/h,2015-01-12,Dépassement de vitesse supérieur à 40 km/h,RA,Montbrison (42),,2015
18152,Réseau,,RFC,2015-01-14,"Un TGV franchi le PN 25 barrières hautes, la signalisation routière est  présentée à l'attaque de la zone courte. Lors des travaux voie de la nuit les détecteurs d'annonce au PK 56+309 sont remontés inversés.",PCA,Lunel (34),,2015
18196,Réseau,,Défaillance voie,2015-01-19,Défaut de géométrie nécessitant l'arrêt des circulations (mauzin),LR,Entre Sète et Le Castellas,,2015
18203,Mobilités,17347,Franchissement intempestif d'un signal d'arrêt fermé,2015-01-20,"Le signal C348 est franchit fermé par le train 860006 lors d'un manoeuvre de refoulement en gare d'Orléans sur la voie 3 (VP), point protégé engagé",CEN,Orléans,,2015
18379,Réseau,17477,Engagement intempestif d'un train sur une voie protégée pour des travaux,2015-02-04,Engagement intempestif d'une circulation sur une Voie Principale  faisant l'objet de mesures de protection pour graissage d'aiguille.,RA,Lyon Perrache (69),,2015
18399,Mobilités,17504,Insuffisance de freinage de train,2015-02-06,Insuffisance de freinage avec dépassement de la pancarte LM et engagement de la VU.,AUV,Laqueuille (63),,2015
20852,Réseau,,Incident grave de signalisation,2015-02-09,Un agent de conduite signale Cv + M. La boite à feu du M était ouverte (fermeture par vis papillon). Dernière maintenance: 18/12/2014,AUV,Nimes,,2015
20853,Réseau,,Incident grave de signalisation,2015-02-10,L'agent de conduite a constaté la présentation simultanée des indications VL + 2ème feu du carré.,AUV,Bollène,,2015
,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2015-02-16,Expédition du train 848481 sans remise d'ordre suite dérangement de PN (Raté d'ouverture),NPC,Montdidier,,2015
,Réseau,,Défaillance voie,2015-02-21,Collision d'un train-auto EF SNCF contre des rochers provenant d'un talus désemparé.,PACA,Anthéor-Cap-Roux,,2015
18635,Réseau,,Incident grave de signalisation,2015-02-23,"A l'approche du signal 366,2, celui-ci passe à voie libre, l'agent de conduite remonte en vitesse et apercoit le signal suivant 363,6 au sémaphore avec la présence d'une queue de train dans le canton annoncé.",AUV,Entre Champtocé sur Loire & La poissonière,,2015
18561,Réseau,,Défaillance voie,2015-02-24,"Suite au passage du Mauzin, découverte d’un défaut g3=26,7.",NPDC,Somain,,2015
,Réseau,,Défaillance voie,2015-03-02,"Déraillement du train 404854 de l'EF SNCF(FRET-transport de céréales) , au niveau de Vendôme sur ligne VU (VP) avec 3 wagons chargés déraillés.",PCA,Vendome,,2015
18623,Mobilités,17665,Engagement de gabarit,2015-03-02,"Incident caténaire. Rupture et chute de la caténaire après passage du train fret 50630. Dégâts
importants.",LOR,En pleine voie entre Merrey et Culmont-Chalindrey,,2015
,Réseau,,Défaillance voie,2015-03-04,"Mesure mauzin d’un sur-écartement de voie dans la TJD 157-162 en déviée vers la direction des voies 8 à 12. Valeur = 1,472m.",PCA,Nantes Blottereau P4,,2015
20855,Réseau,,Incident grave de signalisation,2015-03-22,"Signalement de l’absence de TIVE pour l’itinéraire Voie 3G/ voie 5 R sur V2 (itinéraire peu utilisé),",AUV,Les Arcs,,2015
18910,Mobilités,17913,Incendie à bord d’un train,2015-04-04,Début incendie train 322715 composé de 3 EM dont 2 73500 Cv.,PCA,Gazinet cestas,,2015
18986*,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2015-04-06,Ouverture d'une porte en ligne sur un train de voyageur,LR,Nîmes,,2015
19023,Mobilités,17999,Mise en mouvement sans autorisation,2015-04-17,"Arrêt hors quai, départ sans ordre et franchissement du repère NF 5127",RA,Valence TGV (26),,2015
19146,Réseau,0,Ouvrage en terre déterioré,2015-05-02,[a] Désordre d'ouvrage en terre,ALP,Rumilly (74),,2015
19227,Mobilités,18095,Incendie à bord d’un train,2015-05-02,"FEU - Au train 841846, incendie dans compartiment de la BB25649.Demande de coupure d'urgence et évacuation de la rame par le contrôleur.
Intervention pompiers.",NPC,TEMPLEUVE,,2015
19179,Mobilités,,Dépassement de la vitesse limite de plus de 40 km/h,2015-05-03,Dépassement de vitesse d'engin de plus de 40 km/h 'erreur utilisation panto),PAK,Entre pancarte  Km 155+600 et Le Luc km 120+193,,2015
20370,Réseau,,Défaut de mesures de protection travaux,2015-05-05,Heurt d’un pénétromètre type PANDA par une circulation commerciale sur une zone de chantier non protégée par une mesure S9.,LR,St Denis,,2015
19182,Réseau,,Dégagement intempestif du domaine fermé,2015-05-05,"Lors d'opération de nivellement consécutif à des enregistrements de la voie, dégagement intempestif du domaine fermé par EMV suite à la décision de reprendre un défaut de géométrie qui se situe en dehors de la zone dee chantier couverte par la DFV.",PAK,Roquemaure,,2015
21006,Réseau,,Incident grave de signalisation,2015-05-06,Le déshuntage sur la zone 112 d'une durée de 3 secondes se produit au passage d'une machine HLP.,AUV,Martin sail les bains,,2015
20858,Réseau,,Incident grave de signalisation,2015-05-11,Ll'ADC du TGV 9250 signale la présentation simultanée de VL et Ralent 30 au signal 126+8 Voie 2.,AUV,Entre Chambery et aix les bains,,2015
19222,Mobilités,,Accostage Brutal,2015-05-12,ACCBRUT- Accostage brutal lors d'une accroche.,PIC,LE TREPORT MERS,,2015
,Réseau,,Défaillance voie,2015-05-12,Découverte d'un défaut de géométrie lors d'un enregistrement nécessitant un arrêt des circulations.,PCA,Aubigny au Bac,,2015
19318,Réseau,18231,Franchissement intempestif d'un signal d'arrêt fermé,2015-05-26,"Franchissement intempestif signal d'arrêt (C 319 - Km 373 + 409 sur voie 6) fermé
avec engagement du point protégé - par conducteur train 509847",BR,Gare de Rennes,,2015
